DATE;TIME;OPEN;HIGH>;LOW;CLOSE;VOL
09/01/17;00:00:00;922.0400000;923.9800000;734.6400000;833.3100000;63805
16/01/17;00:00:00;833.4300000;946.2500000;826.0300000;931.2200000;35250
23/01/17;00:00:00;929.4500000;931.3300000;880.0000000;916.5400000;28499
30/01/17;00:00:00;916.5600000;1044.1200000;914.6900000;1016.3200000;38039
06/02/17;00:00:00;1016.3200000;1079.0000000;925.0000000;1010.0000000;46774
13/02/17;00:00:00;1009.9900000;1073.8000000;985.6800000;1059.8800000;34220
20/02/17;00:00:00;1059.8800000;1221.9300000;1051.3600000;1184.9100000;48580
27/02/17;00:00:00;1184.9100000;1298.6100000;1085.7100000;1278.9800000;48081
06/03/17;00:00:00;1278.6300000;1360.0000000;956.8500000;1235.5800000;79694
13/03/17;00:00:00;1235.2700000;1277.2700000;919.4400000;1019.4900000;97504
20/03/17;00:00:00;1019.1000000;1120.0000000;890.0500000;973.0800000;88834
27/03/17;00:00:00;973.9700000;1119.0000000;961.1000000;1113.9900000;62056
03/04/17;00:00:00;1113.2300000;1221.0000000;1112.2400000;1210.9700000;58691
10/04/17;00:00:00;1210.9900000;1234.0000000;900.0000000;1177.9900000;36130
17/04/17;00:00:00;1177.6300000;1258.7700000;1170.8500000;1251.9800000;44546
24/04/17;00:00:00;1251.9100000;1394.5100000;1246.3100000;1384.5500000;59807
01/05/17;00:00:00;1384.5500000;1665.0000000;1370.9800000;1609.5700000;110023
08/05/17;00:00:00;1611.1000000;1889.0000000;1608.0000000;1799.9900000;100621
15/05/17;00:00:00;1799.9800000;2102.6800000;1690.1400000;2057.0000000;96665
22/05/17;00:00:00;2056.9900000;2806.0000000;1913.1900000;2232.7800000;191433
29/05/17;00:00:00;2237.0000000;2599.0000000;2112.3100000;2521.3600000;121084
05/06/17;00:00:00;2521.4300000;2998.9900000;2517.0200000;2998.9800000;121629
12/06/17;00:00:00;2998.9800000;2999.9900000;2050.0000000;2515.2500000;182297
19/06/17;00:00:00;2515.2500000;2781.5900000;2430.0500000;2505.6100000;99542
26/06/17;00:00:00;2505.6100000;2605.0000000;2258.3400000;2516.6600000;97082
03/07/17;00:00:00;2515.3700000;2636.1000000;2479.7500000;2508.9900000;33880
10/07/17;00:00:00;2508.0000000;2523.0000000;1758.2000000;1911.7800000;106176
17/07/17;00:00:00;1911.7900000;2957.0000000;1909.5800000;2754.2800000;145724
24/07/17;00:00:00;2755.1900000;2825.1100000;2403.0000000;2723.9900000;85821
31/07/17;00:00:00;2723.9900000;3335.0000000;2650.0000000;3222.2200000;75046
07/08/17;00:00:00;3222.2200000;4200.0000000;3190.0000000;4060.4700000;107554
14/08/17;00:00:00;4060.4700000;4469.0000000;3807.1400000;4050.9900000;129685
21/08/17;00:00:00;4050.9900000;4453.9000000;3583.4600000;4340.1100000;80412
28/08/17;00:00:00;4343.5000000;4980.0000000;4200.0000000;4626.0500000;96867
04/09/17;00:00:00;4626.0500000;4692.0000000;4139.0000000;4251.3600000;99612
11/09/17;00:00:00;4251.3600000;4375.3700000;2975.0100000;3650.0100000;136167
18/09/17;00:00:00;3962.6900000;4049.0000000;3509.7900000;3669.0100000;42682
25/09/17;00:00:00;3669.0100000;4396.9900000;3669.0100000;4394.8100000;34565
02/10/17;00:00:00;4394.8100000;4612.0000000;4150.0100000;4603.4900000;28552
09/10/17;00:00:00;4603.5000000;5867.0000000;4561.0000000;5693.7000000;57135
16/10/17;00:00:00;5693.7000000;6189.1000000;5102.0000000;6005.0500000;48004
23/10/17;00:00:00;6005.0500000;6290.0000000;5376.7100000;6140.0100000;47999
30/10/17;00:00:00;6140.0100000;7630.0000000;6028.0000000;7392.0000000;63201
06/11/17;00:00:00;7391.9500000;7898.0000000;5511.1100000;5886.3500000;85439
13/11/17;00:00:00;5886.3500000;8098.6200000;5850.0000000;8031.8200000;72958
20/11/17;00:00:00;8031.8300000;9596.0000000;7803.1500000;9401.1100000;67077
27/11/17;00:00:00;9401.1100000;11891.0000000;8595.5500000;11290.0000000;102852
04/12/17;00:00:00;11290.0000000;19500.0000000;10950.0000000;15290.0100000;110594
11/12/17;00:00:00;15290.0100000;19891.9900000;15200.1100000;19378.9900000;64976
18/12/17;00:00:00;19378.9900000;19385.0000000;10400.0000000;14221.9400000;99746
25/12/17;00:00:00;14221.9300000;16490.0000000;12500.0000000;13863.1300000;64603
01/01/18;00:00:00;13863.1400000;17178.0000000;12952.5000000;16174.2200000;52627
08/01/18;00:00:00;16174.2200000;16275.0000000;12800.0100000;13656.2300000;53720
15/01/18;00:00:00;13656.2300000;14253.0000000;9017.4200000;11518.1700000;85229
22/01/18;00:00:00;11518.1700000;11849.0000000;9945.0000000;11536.0000000;52411
29/01/18;00:00:00;11536.0000000;11570.0000000;7540.0000000;8167.9100000;76894
05/02/18;00:00:00;8167.9000000;9090.0000000;5873.0000000;8072.9900000;121062
12/02/18;00:00:00;8073.0000000;11299.1000000;8072.9900000;10380.0400000;48601
19/02/18;00:00:00;10380.0400000;11775.0000000;9324.7500000;9595.4200000;41687
26/02/18;00:00:00;9600.0000000;11494.5700000;9404.0000000;11469.9000000;31103
05/03/18;00:00:00;11469.9000000;11645.3600000;8370.0000000;9533.8800000;91886
12/03/18;00:00:00;9533.8800000;9890.0000000;7310.0000000;8192.0000000;141792
19/03/18;00:00:00;8192.0000000;9174.0000000;8108.3100000;8453.0000000;99963
26/03/18;00:00:00;8453.0000000;8498.0000000;6450.0000000;6816.0100000;116602
02/04/18;00:00:00;6816.0100000;7520.0000000;6518.8800000;7020.0100000;65586
09/04/18;00:00:00;7020.0100000;8392.5600000;6617.0000000;8355.2500000;90665
16/04/18;00:00:00;8355.2400000;9038.8700000;7822.0000000;8795.0100000;66762
23/04/18;00:00:00;8795.0000000;9763.4900000;8602.4300000;9389.0100000;91832
30/04/18;00:00:00;9389.0100000;9948.1200000;8831.2100000;9600.0000000;58194
07/05/18;00:00:00;9600.0000000;9619.5500000;8223.4300000;8686.1000000;64505
14/05/18;00:00:00;8686.1000000;8880.0100000;7927.2100000;8516.8600000;51849
21/05/18;00:00:00;8516.8600000;8584.3900000;7229.0100000;7346.6400000;49075
28/05/18;00:00:00;7346.6400000;7777.0000000;7058.0000000;7706.3700000;43662
04/06/18;00:00:00;7706.3700000;7747.5700000;6652.0000000;6770.3100000;44068
11/06/18;00:00:00;6770.3100000;6913.8200000;6135.0000000;6447.1600000;58262
18/06/18;00:00:00;6447.1500000;6829.0600000;5777.0000000;6149.9900000;53732
25/06/18;00:00:00;6150.0000000;6520.1500000;5790.0100000;6349.5000000;45178
02/07/18;00:00:00;6349.5000000;6843.2600000;6270.0100000;6701.9700000;37075
09/07/18;00:00:00;6701.9700000;6815.8200000;6075.1600000;6348.7300000;36549
16/07/18;00:00:00;6348.7300000;7687.0000000;6330.3000000;7397.8000000;67432
23/07/18;00:00:00;7400.0000000;8488.0000000;7378.2600000;8216.3400000;73120
30/07/18;00:00:00;8216.3300000;8274.9200000;6880.0000000;7030.0100000;64966
06/08/18;00:00:00;7030.0000000;7163.0000000;6003.0000000;6316.0100000;78095
13/08/18;00:00:00;6316.0000000;6636.0000000;5900.0000000;6489.5300000;72533
20/08/18;00:00:00;6489.5300000;6890.6500000;6227.7100000;6709.9800000;51235
27/08/18;00:00:00;6709.9800000;7328.3600000;6654.1300000;7295.0000000;51552
03/09/18;00:00:00;7294.9900000;7402.5000000;6116.0000000;6235.0100000;66613
10/09/18;00:00:00;6235.0200000;6580.0000000;6176.7600000;6498.0000000;44445
17/09/18;00:00:00;6498.0000000;6823.0000000;6106.3700000;6696.9900000;50873
24/09/18;00:00:00;6696.9900000;6786.7300000;6320.5000000;6605.0000000;43771
01/10/18;00:00:00;6605.0000000;6641.0000000;6398.9600000;6570.0000000;29205
08/10/18;00:00:00;6569.9900000;6681.1900000;6033.3400000;6183.4900000;47564
15/10/18;00:00:00;6183.5200000;6810.0000000;6151.5800000;6415.8800000;52216
22/10/18;00:00:00;6415.8700000;6471.0000000;6360.0000000;6403.6200000;24093
29/10/18;00:00:00;6403.6300000;6464.1500000;6201.6700000;6423.2800000;29715
05/11/18;00:00:00;6423.2900000;6540.0000000;6271.1500000;6357.6000000;28376
12/11/18;00:00:00;6357.6000000;6383.5900000;5188.0000000;5560.0000000;78832
19/11/18;00:00:00;5560.0000000;5560.0000000;3456.7800000;3936.6900000;219372
26/11/18;00:00:00;3936.7000000;4414.8900000;3508.0000000;4103.1900000;153566
03/12/18;00:00:00;4102.8000000;4119.9800000;3212.0000000;3531.1800000;134498
10/12/18;00:00:00;3531.1800000;3590.7100000;3128.8900000;3195.0000000;76795
17/12/18;00:00:00;3194.9900000;4175.0000000;3184.2800000;3944.9300000;135039
24/12/18;00:00:00;3944.9200000;4239.3700000;3567.0000000;3829.0000000;87115
31/12/18;00:00:00;3829.0000000;4088.0000000;3625.0000000;4040.9900000;64095
07/01/19;00:00:00;4040.9800000;4114.8000000;3481.5400000;3514.2400000;81144
14/01/19;00:00:00;3514.2400000;3765.9000000;3481.0100000;3536.1900000;56765
21/01/19;00:00:00;3537.5600000;3657.7600000;3425.0000000;3531.0200000;44516
28/01/19;00:00:00;3531.0200000;3535.9200000;3337.8700000;3414.7800000;52858
04/02/19;00:00:00;3415.6900000;3711.0000000;3340.8000000;3648.8400000;55955
11/02/19;00:00:00;3648.8500000;3675.0000000;3535.1000000;3625.0800000;46027
18/02/19;00:00:00;3625.0800000;4188.7900000;3616.1800000;3734.2200000;81460
25/02/19;00:00:00;3734.2300000;3910.0000000;3655.0000000;3786.9300000;47452
